comment,label
刚激活完之后没用，放了一天马上开不了机，还是新机，呵,0
刚买就降价，好几百的降价，除了电脑啥都没送，鼠标垫都没得一块,0
外形外观：很大，拿在手里感觉拿不下，屏幕音效：音效不错，声音很nice，运行速度：反应特别快，软件切换没有延迟,1
非常好用，流畅性就不用说了，音质超出预期，等配件装软件。,1
电脑美的出乎意料呀，金属质感很棒，按键也很舒服，大大小也十分合适随身携带，弹出式摄像头也很可爱，性价比超高了，棒棒哒！,1
轻薄程度：方便携带，比Air略沉，外观材质：颜值100分，显示效果：显示效果特别好，散热效果：没有运行大型软件，不做评价，颜值没得说，屏幕，键盘都很舒适，大型软件还没有装，不知道运气起来卡不卡，总体挺好的。,1
体验感真的差，又死机，又降价，昨天晚上刚过价保期和退货期，今天上午电脑就死机然后自动关机了，,0
一星都不想给，之前买拯救者，半月降价800，没追究，现在买小新，又降价200，服了，以后打死也不会在买联想了，服气了。,0
发货很快，苹果十三真香，习惯了苹果的系统，很顺手。，运行速度：很快，外形外观：没什么改变，拍照效果：这个是真不错，屏幕音效：挺好熵，其他特色：可惜充电器和耳机都要另外买，也是个大坑！,1
电脑收到了，打开试了一下，运行速度很快，电脑的颜色也很好看，机身轻薄适合女生使用，还赠送了鼠标和电脑包，京东快递速度也很快.,1
用习惯了安桌转到苹果是极不习惯的，最大的问题是没有右滑返回上一层，返回上一层需要左滑或点左上角，苹果为这个反人类设计找了个理由是苹果手机不需要返回上一层只需要返回主屏就可以了。返回上层易让人产生错觉，也可能苹果认为全世界的人都是左撇子吧。即使是左滑也是10次有2-3次的不成功。你必需从最左边界滑才有效，好吧全球几亿安卓用户都是傻子，流畅性上来说个人感觉与安卓旗舰没有什么区别，只是屏幕更顺滑细腻一些，如果不是为了苹果的软件生态，和用一些国外的APP方便，我是决对不会买这台反人类设计的苹果机的。还有大量的人反应用苹果的手机辣眼，三天实测下来是确实有这个问题。用Iphone最大的好处是更易让你戒了手机因为从操作方式到眼睛健康都是那么让人不再想拿起它。,0
哇塞哇塞! !超级好!无论是音质还是屏幕都很满意，平价又性价比很高，我同学买了我也推荐给我同学了超级可以，对于大学生说这非常好!家里用的都是荣耀的手机也是，国产才是yyds!!!!!!!!!!!!,1
外形外观：经典苹果特色外观 简约好看，屏幕音效：很不错，拍照效果：有夜间模式 清晰，运行速度：很快 很快，待机时间：一般般 电池容量有点小 一天两充，其他特色：直边真的很不错 黑色很耐看,1
很酷的设计，强劲的性能，适应一下新刘海！，大部分应用都能正常支持M1，包括Eclipse，JAVA，Android Studio等开发软件，很棒！,1
给朋友买的电脑，之前都电脑办公用太顿了，选来选去还是选择了小新，10纳米处理器功耗控制还不错，这外壳金属材料用料还说的过去，屏幕超窄边框视觉效果不错，由于主要是办公使用，16+512G完全够用，她说开机运行很快，特意又买的小电源，朋友很满意，颜值和性能都还行。,1
联想是狗吗。买了一天后就降200，有句话不知道能说不能说,0
非常差，运行好好慢非常慢，非常卡，用得好吃力！而且才用几天有很大噪音，售后没保障，离售后点那么远！才用几天就去售后，麻烦！,0
用了两天后的评价：手机比我之前的XR轻，领了优惠券，还是很划算，外形外观：非常好看，屏幕音效：屏幕分辨率高，音质清晰，没有杂音，拍照效果：双摄像头拍照效果甚佳，运行速度：流畅不卡，待机时间：待机时间感觉没有之前的XR长，其他特色：京东自营，售后有保障,1
客服自己说可以退的，申请也通过了的。合着浪费我时间是吗,0
京东自营的服务是没得说，必须给个大大的赞！无论是速度，信息跟踪，还是服务态度！，联想笔记本的价格就像过山车一样，起起伏伏，没有一点价保力！这是大件商品，不是什么临期清仓商品，工作人员还讲什么市场行情，一家大品牌公司的市场策略就是在不到10天的相同等级秒杀活动中降价100元? 晒单补贴为什么不一视同仁？，，下面截图的价格供大家参考: 加上晒单补贴100元，到手价3649元！有京豆福利的伙伴们价格再降！,0
快递很快  四天就回来了   颜色真的超级奈斯  开机很快  客服态度超级好  我问了很对问题  问过很多次  都是一次次很耐心的跟我说  大爱  超喜欢,1
宣传的7天无理由退货，到货开机，就触摸不灵，然后还不给退货，1万买的手机服务差的一比,0
电脑简直太好 尤其是多屏协同特别快 手机一放就联上了 运行Matlab和PS非常流畅，YYDS！！屏幕就是我喜欢的宽屏，而且看着很舒服，像素高，散热快，目前还没发现电脑烫的情况，同时又轻又薄，充电器也很小，用一个小的电脑包足以，总体特别棒！,1
垃圾，灰色的电脑配个白色的冲电器,0
什么垃圾，刚买的没用多久就黑屏，无语了，踩雷，大家别买,0
家里WiFi明明是满格，手机都是连这个WiFi都能使用，但这个电脑一直登录不进去，显示网络不好，登了几个小时才能登进一次，才能进入桌面，才买了几天就是这样，别买！,0
物流很快隔日到家。iPhone13Pro256G远峰蓝还是很好的?！这次选择快充套装，苹果? 还是那个苹果? ，这次pro的6G内存、经典外观、120Hz高刷屏幕、续航提升、三摄等进步不小。等用后再来追评。,1
性价比高，非常丝滑，非常流畅，充电非常快。支持国产。操作方便，全程语音操作。,1
绿色好看 百搭比前几代轻很多屏幕音效：音质立体很好，系统运行很流畅，拍照还可以，续航的话一般般，好在能耗低。对于上班族来说，2800毫安的电池，如果不打游戏，勉强一天一充还是可以的。,1
小巧，轻薄，配合华为的路由器上网速度很快，孩子上网课很合适，喜欢华为的东西，支持国货,1
外形外观：入手的白色，拿到手比图上还好看，这个白色做的真的很深入我心，随便戴个手机壳也很百搭，重量也刚好，没有很重，总之颜值我喜欢?，屏幕音效：屏幕音效：屏幕清晰，看起来不刺眼，打游戏也很流畅，音效也不错，值得推荐 ?，拍照效果：拍照我自己觉得还是比较给力，咱也不是专业的用来拍摄，就是平时日常用，拍出来画质感觉不错，当然要求高的可以入手pro，相机更棒,1
笔记本电脑使用非常不错，也非常轻薄，由于自己经常出差，满足自己旅行出差办公的要求，自己家里的hp笔记本电脑比这个显得厚重一些。以后还得还得买联想,1
小毛病真多，wifi又打不开了，不知道重启能好吗？,0
电脑杠杠的。检测没有问题。质量有保证。几十亿的。。。生产力靠它了。好事多磨。得之不易，越发珍贵呵呵zzz,1
外形外观：外观金属边框完美，手感非常不错，屏幕音效：音效完美，苹果的品控很嗨，拍照效果：拍照效果非常棒，一贯如此，运行速度：运行速度非常流畅，待机时间：待机时间基本一天，其他特色：忠实粉丝，越来越好,1
拍照效果很好，手机比较重，运行速度还可以，等了差不多半个月到手，喜欢这淡淡的蓝色，看上去很高级,1
才用二十多天就突然黑屏,0
机器好用，外光做的也漂亮，还是最新的系统，老婆很满意，希望华为越做越好！！记得送我鼠标啊,1
屏幕音效：大小合适  拿用方便 实用，拍照效果：清晰清楚好用无瑕疵，运行速度：运行顺畅好用，待机时间：一般也够用，其他特色：特别好 我会坚持购买实用  推荐给大家，外形外观：外形大方大气上档次,1
运行速度：垃圾，感觉跟翻新机一样，卡的要死，下次再也不买了,0
屏幕音效：信 视频发黄，拍照效果：照片发黄,0
不知道大家有没有这种情况，就是有时候电脑合上后，再打开就不反应了，但是呼吸灯还是一直在闪，客服说是主板存在静电，目前有几个都是这种情况，购买者注意把。,0
相信华为的质量，做工和用料都很好，外观很大气，喜欢，但是希望送个无线鼠标，没鼠标有点不方便！,1
真就一般  才用几天就有时候卡一下,0
买了还没几天就掉价儿，还不保价，强烈差评,0
外形外观：一如既往的优秀！，拍照效果：摄影模式多，拍照效果很真实！，运行速度：快，不用像安卓手机一样老要清理内存了！，待机时间：晚上充满电，正常使用，能用一天的。,1
屏幕效果：激活后发现屏幕有划痕，不给退换了，吃了个哑巴亏。,0
运行速度：      很快         ，，屏幕效果：     很好，2.8k的屏幕真的不错，散热性能：     散热的声音还好，不算很大，外形外观：银灰色的，一般般，轻薄程度：算轻薄了,1
使用一天了，电脑很不错，性能非常好，运行也很流畅,1
高刷高分屏可太爽了，核显也升级到了96eu，已经跟mx350已经打平了，银色感觉也比yoga14s的灰色要好看，绝绝子。,1
刚买，用不到半个月，充电器不能给电脑充电，要凉，这质量真差,0
这手机刚拿到手，手感很好，跟在专柜看的一样的，这个紫色很特别，拍照清晰，各方面都感觉挺好，四台很值得入手的手机，你们觉得怎样呢？,1
屏幕很流畅，等了很久终于抢到了 ，哈哈哈啊，内存容量很大 放心沾满 可以放心入手,1
感觉很好啊，很轻便，用着感觉很快捷，外观漂亮大方，这款颜色很好看，用了一段时间，很好，很便捷，很好，满意开心，很爱这款电脑,1
别买，不到一个月电脑开不了机了。无语，不知道是不是问题机,0
刚买就出问题了 无法设置pin  设置完就黑屏  收到货两天了 现在也没有解决 目前还联系不上人工,0
人生第一台电脑到手啦！昨天下午下的单，今天就到了，物流真的快的没话说！挑挑拣拣最终还是买了这台，毕竟各方面都满足我的要求，也不算太贵，长得又好看！很满意了！,1
非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?特别特别棒，货比三家才买的，店主人很好，回答问题很有耐心，也很详细，有需要还会再来的正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了快递很快，质量棒极了，建议购买，新版跑分大概85w左右，5秒开机，在5800h加持下LOL可以很流畅玩耍，正版激活很快很好，继续支持华为荣耀，国产之光?((?????))?,1
趁着春节活动赶紧入手了13，120hz的刷新率很爽，系统比我之前用的流畅很多，尤其是配合这个屏幕，用着很舒服，但是需要一段时间去适应这个系统。，外形外观：回归到以前的设计，看着很简洁。，屏幕音效：120hz刷新很爽，显示很清晰。，拍照效果：很清晰，很不错。，运行速度：非常流畅，很稳定。,1
最差的一次体验，没有之一,0
电脑很轻度，方便出差携带。质感也很好，配置高，对于办公和写代码，跑程序性能足够强大。屏幕高刷新率，不刺激眼睛。特别满意的就是高内存且不是独显的配置，适合我们不玩游戏的人。,1
被人拆过的也敢寄过来,0
买完发货过来就是屏幕上有划痕，重新发货过来又是屏幕失灵,0
外形外观：很喜欢外观设计很喜欢，轻薄型，屏幕效果：屏幕也很清晰，看起来很舒服，有护眼效果，散热性能：散热性能也很好，风扇声音也不是很大，轻薄程度：1.3kg的重量，很轻，携带起来也很方便，其他特色：华为品质，还是值得信赖的,1
送给妹妹上学用的，她非常喜欢！，运行速度：开机非常快，五秒搞定！，屏幕效果：屏幕非常清晰，看着很舒服不伤眼！，外形外观：金属机身，大气上档次！，其他特色：轻薄，美观，国货之光！,1
用了不到一个月，电源就不能充电了。,0
办公的话还行，打游戏真的卡，买了十天卡了三次，散热是真的垃圾，风扇声音特别大,0
辣鸡手机，刚买一个月，每天晚上手机待机掉电百分之80以上,0
初一送到，速度还是很快的。没有赠品。鼠标、电脑包啥都没有。沟通客服都是模板答复。此处差评。一次不愉快的购物，下次再也不来京东购物了。,0
荣耀笔记本升级上来的，就是中了灰色的毒，这个笔记本很喜欢，超级好。反应比荣耀也快一点。,1
后悔，当时看中两款，一款荣耀的，一款小新，当时觉得荣耀便宜，性能可能会低一点，网上也说联想好，同事也说电脑都要四五千才好，现在想想用几年又要换的，又没什么，现在还降价，越来越觉得不值，果然玩不过资本家,0
不到两个月，没摔没碰，打字打着打着，键盘掉了，真无语,0
散热太差，太差，太差，太差，空调房里都要把手烤熟了,0
iPhone13pro相当不错，运行流畅，拍照清晰，卖家很给力，双11拍下，第二天就收到了，各方面都很满意，推荐大家购买。iPhone13的3款一定首选13Pro。,1
屏幕效果：屏幕够用，轻薄程度：还不错，买来学习编程的，用了段时间，使用过程没出现过任何问题，整体很满意，接口丰富，不需要额外购买拓展坞了，可以隐藏的USB太实用了。键盘上的角标被我自己撕了下来,1
说实话，既不是独立显卡也没有啥优越的系统，我才买了不到一个月，发烫严重的要死，还掉电华为真就感觉炒出来的好吧,0
苹果笔记本电脑非常不错，当天拍当天就送到了，用了一段时间，各项功能都正常使用，最重要的是，颜值真的超高，总体来说是一次非常满意的购物，下次再来。,1
第一次买，挺好用的，开机快，使用的时候不卡顿，开机使用的时候不懂问客服，也很耐心的告诉我怎么操作，电脑大小挺合我心意的，重量适合。,1
用了两天差不多，玩个原神开最低画质玩的比我手机都卡,0
说是全新笔记本电脑，结果打开包装一看，有别人使用过痕迹，联系客服说有专人联系我。就不了了之了。京东服务太差,0
OK的，开机很快，功能指导很详细，散热性能：放在桌子上不会热，运行速度：快，外形外观：大气，轻薄程度：还行,1
今天接到京东快递电话，还在奇怪！没买东西啊！接听电话快递师傅告诉电脑到了，我都有点不敢相信，电脑真的到了吗？果然到了，上海管控结束了，4.26号快递正常运输，4.27号就收到货了，京东运送依然神速，收到电脑也很京喜，实物和客服描述的一样，包装很好，没有破损变型，里面保护的也很多，电脑外观好看高大上，不愧是升级版的12代Tink book 运转非常快顶配的就是好！???画面很清晰,1
把这个电脑不是太好，窗口一直没办法关闭，问客服态度也不是特别好反正就是特别影响心情,0
外形外观：设计的很好，整体外观很舒适，拍照效果：非常棒，拍摄效果很棒，很清晰，运行速度：运行速度很快，非常满意，游戏效果不错，已经验货过了，是正版，虽然等了很久，但是这个等待是值得的,1
散热性能：很好，长时间玩游戏也不烫，外形外观：很酷，运行速度：很快,1
电脑屏幕够大，边框也很小，看视频很舒服，三星pcie4.0的固态硬盘读取速度一流，处理器也很给力，一点都不卡顿，外金属机身，轻薄，刚性正常，配一个手提包，外出毫无负担,1
第二天就死机闪屏，要求换新客服不同意！太垃圾了，,0
不到两个月，无法开关机。,0
用了一个多月了，除了有时候看视频暂停一段时间后在点开会闪一下没其他毛病，配置很高性价比很高，我很喜欢?,1
客服真的好耐心，买之前一天问好多想知道的问题，客服态度都特别好，真的是随问随答。服务真的好啊，一开始拍错了款，都已经配送的路上了，我选择退款重新拍，立马就给我退款了。简直是秒到账！拿快递的时候，小姐姐态度特别好，给我货的时候也是小心翼翼，虽然已经保护的很好了。哈哈。最外面有一层纸箱包装，然后电脑有单独的包装，里面也有固定电脑的。绝绝子！,1
之前用的三星，因为女生手小，hold不住大屏幕，经常需要两只手操作，。13pro老公觉得屏幕小，我就觉得正好，单手完全hold的住。很棒，速度快，很流畅。除了重点，贵了点，暂时没看见毛病。,1
轻薄，屏幕好，运行速度快。第一次开机风扇声音很小!配置也比较喜欢咨询了几次客服，也比较有耐心，总体满意，京东购物有保障！,1
中午刚拿到，晚上就白屏，真是没想到啊没想到，都还没捂热，我真服了联想这破质量了。,0
笔记本电脑轻薄，便于携带，颜值高，开机速度快，非常好用！,1
已经验过机了，非常流畅。很漂亮，颜色大小都很适合女生。最喜欢这个充电器了，方便携带。,1
这款笔记本电脑非常轻薄，外型美观大方，金属外壳设计，放在手上很舒服，芯片性能超级流畅，和手机无缝对接，内存强大,1
到手刚一个星期，论文写到一半就卡死到这  无语了！啊啊啊啊！,0
同样的价格没有鼠标，没有注意到，上当了。,0
运行速度：很快，屏幕效果：显示完美，就差个高刷，散热性能：正常办公，很适合，外形外观：美观，轻薄程度：适合，其他特色：相比之下，有数字小键盘，总体来说，物流很快，商品很好，试用了一段时间，体验感满满，一份价格一份货。,1
购买完就降两百，体验感不是很好,0
给女朋友买的，很喜欢，本来是打算买14999那款可惜没现货，就升级了储存和芯片，做生产力完全够用，屏幕也是win本不能比的，总之满分好评,1
用了2个星期了，第1个星期还没事，第2个星期动不动就开不了机。,0
整体上还可以，但我买回来的有些问题，舍友说网上的也有不可靠的，网上知乎说建议能网上自营店买的就不要到线下买，总感觉从开机联想这款还不可以跳过不联网不能到下一步，真是服了，然后开机了，联想自带的微软输入法还不可以打拼音，搞了半天客服说是微软升级的bug，让我还原，还远还不行，然后就下载了第三方搜狗的才可打，现在有出现了一个bug，我用百度网盘看剧，下一集或随便选一集就屏幕卡住，还转换屏幕不过来，就听到声音，诶不知道是不是二手的，,0
好看，好用。老电脑用了六年了。这台电脑给了很好的新体验。5800h+3050够办公需求，偶尔摸鱼打会小游戏也够用。。,1
正在熟悉win11中。，电脑运行流畅，目前看起来也很安静。接口太方便了，不需要扩展就可以直连投影，塞tf卡，各种usb设备随便插。,1
非常卡，非常差，新电脑都不能用,0
第一次买荣耀笔记本，银灰色，颜值很高，轻薄携带方便，开机很快，运行流畅，用来打游戏很爽，总得来说不错，希望多做点活动，下次再买。,1
运行速度：真的是非常的快，屏幕效果：超级清晰，太棒了，散热性能：一点也不热，外形外观：简单大方也真的好用，一句话真的太好了,1
外表是那种很粉嫩的颜色，大家根本不用担心色差。键盘手感很好，轻薄程度：女生单手可以拿起，屏幕效果：分辨率高，运行速度：快,1
在众多品牌中跳中联想这个牌子，还以为新买的电脑会安全下车，谁知道还没有半个月，电脑突然出现闪黑，然后直接开不了机所以现在还能退货吗,0
哎呀！心都碎了，才几天就可以挺600元的优费卷！,0
头天下单，第二天就收到，京东快递就是快，包装也完好无损，一如既往的喜欢?华为，开机秒开，使用很顺畅，对于不完游戏的我这款已经够用了，，运行速度：超快，屏幕效果：非常好,1
很失望的一次购物体验。只能说买了就是上当。,0
屏幕效果：16.1寸大屏，使用起来超级不错，手感是一等一的不错，显示度很好，运行速度：运行速度很快，不卡顿，非常流畅，玩游戏也是不错的，散热性能：散热也不错，风扇声音没有特别大，外形外观：外观就是那种简约风，就大家都能用都可以接受的那种，满满的高级感，轻薄程度：轻薄度我感觉是同类型中不错的了，挺轻薄的，对于一个女生来说，我觉得不是很重，其他特色：客服的解决也是很到位的，不会的问也会很耐心的回答，体验感是非常不错的,1
笔记本已收到，运行速度快，另外还配有指纹解锁，这个很实用，屏幕显示清晰，重量很轻，,1
买完就降价，还不给补差价,0
拿回来开箱边框脏兮兮的，真的失望,0
外观设计美观，操作体验感极佳，画面色彩饱满，非常喜欢。,1
物流效果送货准时。电脑打开后系统安装非常简易。全机身都是非常好的材质。隐藏式鼠标USB接口非常方便合理。屏幕非常大。显色效果也好。,1
